letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ծ,0,0,0,0,9.854703800001516,None,11.714525600000343,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
ճ,0,1,1,1,,,21.566881900000226,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
D,0,2,2,2,,,31.567928200000097,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
A,0,3,3,3,,,41.57851240000127,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
Ჰ,0,4,4,4,,,51.62219929999992,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
Ფ,0,5,5,5,,,61.57578900000044,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
V,0,6,6,6,,,71.5618359,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
E,0,7,7,7,,,81.5618059999997,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
Ც,0,8,8,8,,,91.5621658,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
ᴌ,0,9,9,9,,,101.5614970000006,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
M,0,10,10,10,,,111.5629127000011,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
I,0,11,11,11,,,121.5543744000006,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
ջ,0,12,12,12,,,131.5608142000001,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
֏,0,13,13,13,,,141.5652998000005,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
K,0,14,14,14,,,151.5612815000004,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
U,0,15,15,15,,,161.55559730000095,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
թ,0,16,16,16,,,171.5590170000014,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
წ,0,17,17,17,,,181.57099150000067,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
L,0,18,18,18,,,191.55763269999989,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
S,0,19,19,19,,,201.5694125000009,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
თ,0,20,20,20,,,211.56194529999993,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
ჯ,0,21,21,21,,,221.56091000000015,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
T,0,22,22,22,,,231.55943320000006,None,1,001,2020_Jul_22_1328,fluency,2020.1.3,59.50266482637613,
