letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ծ,0,0,0,0,7.543907600000011,None,12.371052399999826,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
ճ,0,1,1,1,,,22.18005849999986,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
D,0,2,2,2,,,32.17406299999993,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
A,0,3,3,3,,,42.17382549999979,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
Ჰ,0,4,4,4,,,52.22409929999981,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
Ფ,0,5,5,5,,,62.18323049999981,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
V,0,6,6,6,,,72.17937799999982,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
E,0,7,7,7,,,82.1785026,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
Ც,0,8,8,8,,,92.16278579999994,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
ᴌ,0,9,9,9,,,102.16510649999987,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
M,0,10,10,10,,,112.16350879999982,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
I,0,11,11,11,,,122.16451009999992,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
ջ,0,12,12,12,,,132.1716618999999,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
֏,0,13,13,13,,,142.1689362999998,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
K,0,14,14,14,,,152.1622812999999,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
U,0,15,15,15,,,162.17027819999998,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
թ,0,16,16,16,,,172.1634227999998,None,,001,2020_Jul_20_1359,fluency,2020.1.3,59.868301709913865,
