SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.451175600057468,None,space,0.34046880004461855,5.451175600057468,None,,,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Astronauten fliegen mit Raketen ins _____.,0,0,0,0,,,,,,,5.896646199980751,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Nehmen Sie das Baby auf den _____.,0,1,1,1,,,,,,,11.853563799988478,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Sie kaufte Gemüse und frisches _____.,0,2,2,2,,,,,,,17.859915500041097,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Suppe isst man mit einem _____.,0,3,3,3,,,,,,,23.87607800005935,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Xbg rhc hgxgr Jknrhc sp _____.,0,4,4,4,,,,,,,29.88025559997186,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Xbg rkc vhrmgr mbgn sx mhp _____.,0,5,5,5,,,,,,,35.854197600041516,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Bg mrkxg h nkxg kn h nsgzg gk _____.,0,6,6,6,,,,,,,41.85813379997853,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Pbg mgnx xk Rspngc Mkrlr hnr phm Jszmgc _____.,0,7,7,7,,,,,,,47.875819500070065,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Sie gab ihm einen innigen _____.,0,8,8,8,,,,,,,53.86202330002561,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Wale und Delfine leben im _____.,0,9,9,9,,,,,,,59.854336700052954,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
"Wenn die Lichter ausgehen, ist es _____.",0,10,10,10,,,,,,,65.85645019996446,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Zur Entscheidung werfen wir eine _____.,0,11,11,11,,,,,,,71.85367700003553,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Lsknp bhtg tgrc pbhrn _____.,0,12,12,12,,,,,,,77.85045809997246,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Bg hxg h nghnqx vqxxgr hnr wgllc _____.,0,13,13,13,,,,,,,83.85227619996294,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Mg qpqhllc ghx msxb gkrmp hnr _____.,0,14,14,14,,,,,,,89.85040270001628,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Mbgn Sk xbsrpxc S mhnx pkjgxbsnc xk _____.,0,15,15,15,,,,,,,95.87689690000843,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Vom rostigen Auto blätterte der _____.,0,16,16,16,,,,,,,101.84774050000124,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Ein Dreieck hat drei  _____.,0,17,17,17,,,,,,,107.8569158000173,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Beim Sturm brach am Segelboot der _____.,0,18,18,18,,,,,,,113.85504369996488,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
Die Arbeiter rodeten den _____.,0,19,19,19,,,,,,,119.8559465999715,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
S mggn jc jkngc sn h _____.,0,20,20,20,,,,,,,125.87235019996297,None,001,,2020_Jul_24_1014,SC_experiment,3.2.4,60.004236317370456,
